"","user_id","media_id","is_listened"
"1","4606","128809249","0"
"2","4606","128809231","0"
"3","4606","79595828","0"
"4","4606","3607774","1"
"5","4606","133661814","1"
"6","4606","128809235","1"
"7","4606","129568032","1"
"8","4606","133105552","1"
"9","4606","83844556","0"
"10","4606","131340580","0"
"11","4606","129011934","0"
"12","4606","122886138","0"
"13","4606","129310248","0"
"14","4606","128547767","1"
"15","4606","134521520","1"
"16","4606","134948420","0"
"17","4606","134965778","0"
"18","4606","129345176","1"
"19","4606","79257223","0"
"20","4606","75559843","1"
"21","4606","17490404","1"
"22","4606","17490403","1"
"23","4606","101903545","0"
"24","4606","100388984","1"
"25","4606","75559839","1"
"26","4606","101903533","1"
"27","4606","75559847","0"
"28","4606","75559840","1"
"29","4606","133105552","1"
"30","4606","133661814","1"
"31","4606","131576046","1"
"32","4606","117678828","0"
"33","4606","133525572","1"
"34","4606","133525574","1"
"35","4606","133525574","0"
"36","4606","133105552","1"
"37","4606","133105552","1"
"38","4606","133661814","1"
"39","4606","133165902","0"
"40","4606","133165910","0"
"41","4606","87669871","0"
"42","4606","87669875","1"
"43","4606","78671180","0"
"44","4606","78671174","1"
"45","4606","118873076","1"
"46","4606","78671180","1"
"47","4606","78671172","1"
"48","4606","78671174","1"
"49","4606","886556","1"
"50","4606","69879255","0"
"51","4606","69879257","0"
"52","4606","69879258","0"
"53","4606","69879257","1"
"54","4606","6297560","0"
"55","4606","11918644","0"
"56","4606","66767313","1"
"57","4606","66767320","1"
"58","4606","133105552","1"
"59","4606","133525542","1"
"60","4606","133525574","0"
"61","4606","126024227","1"
"62","4606","126024225","1"
"63","4606","132123632","1"
"64","4606","132123630","0"
"65","4606","132123626","0"
"66","4606","132123610","1"
"67","4606","132123602","1"
"68","4606","125089700","0"
"69","4606","78671171","1"
"70","4606","78671180","1"
"71","4606","78671164","0"
"72","4606","61056310","1"
"73","4606","101903551","0"
"74","4606","106095110","1"
"75","4606","68473212","0"
"76","4606","100328656","1"
"77","4606","106316960","1"
"78","4606","68689024","0"
"79","4606","126024227","1"
"80","4606","87669875","1"
"81","4606","133105552","1"
"82","4606","133661814","1"
"83","4606","13442444","0"
"84","4606","3409757","1"
"85","4606","128809235","1"
"86","4606","128809249","1"
"87","4606","133525542","1"
"88","4606","133525574","1"
"89","4606","128099517","1"
"90","4606","126024209","1"
"91","4606","131835986","0"
"92","4606","71966548","1"
"93","4606","132614858","0"
"94","4606","132123608","1"
"95","4606","132123604","1"
"96","4606","132123602","1"
"97","4606","128948300","0"
"98","4606","107551636","1"
"99","4606","75711295","1"
"100","4606","126902923","1"
"101","4606","128846799","1"
"102","4606","106095110","1"
"103","4606","100328656","1"
"104","4606","117726054","1"
"105","4606","133525542","1"
"106","4606","127452939","1"
"107","4606","131576046","1"
"108","4606","132123632","0"
"109","4606","132123630","0"
"110","4606","132123628","0"
"111","4606","132123626","0"
"112","4606","132123624","0"
"113","4606","132123622","0"
"114","4606","132123620","0"
"115","4606","132123618","0"
"116","4606","132123616","0"
"117","4606","132123614","1"
